MusteriKodu;MusteriBolge1;MusteriBolge2;MusteriBolge3;MusteriBolge4;SatisKanali;lisansNo;SatisHacmi;DiageoSatisHacmi;RutAdi;RutgrupKod;SatisTemsilcisi;StTakipKod;SatisSefi;SonGuncellenmeZamani;DDegeri;RDegeri;HDegeri;BiletEtkinlik;OrtalamaHarcamaTutari;KuverSayisi;IsbirligiDuzeyi;HerseyDahil;KisMevsimi;OtelTipi;YatakSayisi;YillikMisafir;MusteriUnvan;MusteriTabelaAdi;MusteriCesidi;Adres;lat;lng;MusteriProfili;MapProfileScore;MapPopulationScore;Mapin Segment;not;username;Url detay; url
433249;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;HOTEL;34281647Aİ;S5;D3;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D5;;H2;;500-999 TL;;Orta;Hayır;Evet;4;;50K-100K;KADIKÖY OTELCİLİK VE TURİZM İŞLETMELERİ A.Ş.;KADIKÖY OTELCİLİK;Business;RIHTIM Cad. 62 RASİMPAŞA Kadıköy / İSTANBUL;40,99544397;29,02480308;C;;;H2;;;var;https://maps.app.goo.gl/k39kVzHodETV1er16
456855;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;HOTEL;34391592Aİ;S3;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;2.000+ TL;;Yüksek;Hayır;Evet;5 / 5+;;10K-50K;BÜYÜKHANLI KARDEŞLER İNŞAAT TURİZM VE TİCARET A.Ş.;MARRİOT OTEL;Banket, Event, Etkinlik Oteli;KAYIŞDAĞI CADDESİ NO:1 KOZYATAĞI ;40,98091700;29,10137200;AB;;;H1;;marriottasia;var;https://maps.app.goo.gl/WMzAaa4tpqWqHDXL9
700932;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ÜSKÜDAR;HOTEL;3434004743Aİ;S5;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;500-999 TL;;Düşük;Hayır;Evet;5 / 5+;;10K-50K;MN Butler Mimarlar Araştırma Tasarı ve Yapı Ltd.Şti.;Sumahan on the Water;Diğer (Apart, Pansiyon);Kuleli CD. No:43 Çengelköy Üsküdar/İstanbul ;41,0540863;29,051875;A+;;;H1;;;var;https://maps.google.com/?cid=11419511708799045238
1000029700;Telesales Kanal Md.;Telesales OnTrade;İstanbul Avrupa;ÜSKÜDAR;MODERN;3434004768Aİ;S3;D3;Presell Kayıkçı Telesell OnTrade Bölgesi;2654;Kayıkçı Telesell Ontrade;7735;Telesell Şef;;D4;;;Etkinlik Yok;500-999 TL;100-199;Düşük;;;;;;ŞAHİN DENİZ TURİZMİ VE İŞLETMECİLİĞİ LMD. ŞTİ. ;AŞK GEMİSİ ;Tekne-Event Hall-Catering;ÜSKÜDAR ;41,01910260;28,95795300;C;67,1815;54,2895;D4-C;Bulunamadı;;Bulunamadı;
720622;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34283862Aİ;S5;D5;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D3;R0;H0;Etkinlik Yok;500-999 TL;100-199;Yüksek;;;;;;LESTAT GIDA ISLT.TUR.SAN.TIC.LTD.STI;KİRPİ ERENKÖY;Modern Pub & Bistro;;40,96505120;29,07206820;AB;77,7405;62,0554;D3-B;;;BOŞ;
956804;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34285830Aİ;S2;D4;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;D0;R3;H0;Etkinlik Yok;500-999 TL;100-199;Yüksek;;;;;;40DK EĞİTİM TURZM GIDA VE BİLİŞİM DANHZM TİC LTD ŞTİ;Gri Meyhane ;Geleneksel Meyhane;CAFERAĞA MAH DUMLUPINAR SOK NO 11-1/A KADIKOY ISTANBUL;40,98879597;29,02450808;AB;63,7168;64,6221;R3-C;;;Bulunamadı;
875714;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;3428009713Aİ;S3;D4;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D3;R0;H0;Etkinlik Yok;500-999 TL;100-199;Orta;;;;;;GSS GIDA TURIZM VE TICARET LIMITED SIRKETI;LONDON PUB;Modern Pub & Bistro;OSMANAĞA MH.PİRİ ÇAVUŞ SK.NO:13/1 KADIKOY ISTANBUL;40,98910740;29,02810430;AB;63,7161;63,8223;D3-C;;;Bulunamadı;
1000012934;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;TRADITIONAL;3439002760Aİ;S3;D2;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;;R0;;;;;;;;;;;ABA GROUP TEKNOLOJİ A.Ş KENSİNGTON;KENSİNGTON;Yeni Nesil Meyhane;BARBAROS MH.MORZAMBAK SK.NO:1/4/BULVAR 216 ;40,99450499;29,11039467;AB;;;R0-B;;kensington.terrace;Bulunamadı;
831410;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34285464Aİ;S5;D4;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R0;;;;;;;;;;;KEYİFHANE CAFE;KEYİFHANE CAFE;Askeri Birlik-Sosyal Tesis;CIAĞA  MAH MÜHÜRDAR  CAD NO 43 /B KADIKOY ISTANBUL;40,94340610;29,10800380;C;;;R0-B;Bulunamadı;;Bulunamadı;
633358;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;34284000Aİ;S5;D3;Presell On İst.Mod Kadıköy Bölgesi;2814;Onur Çakmaz;8224;Tayfun Öncel;;D0;;;;;;;;;;;;ELİF GIDA TURİZM SAN VE TİC AŞ.;TRAFFİC;Modern Pub & Bistro;BALIKÇI YUNUS SK.NO:10 BOSTANCI;41,00112970;29,05534240;C;;;D0-B;Bulunamadı;;Bulunamadı;
814129;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34286073Aİ;S3;D4;Presell On İst.Tra Kadıköy Bölgesi;2816;Bertan Acabay;8229;Erkan Çoban;;;R0;;;;;;;;;;;BAŞBAKANLIK F 02;BAŞBAKANLIK F 02;Askeri Birlik-Sosyal Tesis;KALAMIŞ KADIKOY ISTANBUL;40,98157100;29,03651700;AB;;;R0-B;Bulunamadı;;Bulunamadı;
719810;Ulusal On-Trade Kanal MD.;Asya OT;Istanbul Anadolu;ÜMRANIYE;MODERN;3428010774Aİ;S0;D0;Presell On Bostanci Bölgesi;2133;Mehmet Yasar Tezcan;905;Erkan Çoban;;D0;;;Etkinlik Yok;2.000+ TL;100-199;Yüksek;;;;;;DATE CATERING ORGANIZASYON LTD.STI.;THE DATE GASTRO PUB;Pub & Bistro & Kokteyl Bar;KOZYATAGI MAH. SEMSETTIN GÜNALTAY CAD. A BLOK NO:84/A KADIKÖY / ISTANBUL;40,96514060;29,08843150;A+;80,999;71,25;D2-B;;datecateringorganizasyon;Bulunamadı;
721144;Ulusal On-Trade Kanal MD.;Istanbul Traditional OT;Istanbul Anadolu;ATASEHIR;TRADITIONAL;3439003411Aİ;S0;D0;Presell On Ist.Tra Asya Atasehir-Adalar Bölgesi;;;;;;;;;Etkinlik Var;2.000+ TL;400+;Yüksek;;;;;;MCE RESTAURANT TURIZM INSAAT VE GIDA TIC.LTD.STI.;PASAJ;Yeni Nesil Meyhane;Barbaros mah ahlat sokak no 2c/26,27,28,29 Watergarden c blk ;40,99659257;29,10022940;AB;0;0;R3-B;;;Bulunamadı;
721196;Ulusal On-Trade Kanal MD.;Istanbul Traditional OT;Istanbul Anadolu;ÜMRANIYE;TRADITIONAL;3433007402Aİ;S0;D0;Presell On Dogus Ist.Tra Asya Üsk.-Beyk-Sile Bölge;;;;;;;;;Etkinlik Yok;1.000 -1.999 TL;100-199;Orta;;;;;;Arda Group Restauran Gid. Tic. Ltd. Sti.;ARDA OCAKBASI;Kebap;;41,00811800;29,17960650;AB;0;0;R3-B;;;Bulunamadı;
702614;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;ATAŞEHİR;MODERN;34392044Aİ;S5;D4;Presell On Hospitality Avrupa2 Kayıkçı Bölgesi;2536;Hospitalty Yedek 1;8072;ST Yöneticisi 7 ;;D2;R0;H0;Etkinlik Yok;500-999 TL;400+;Orta;;;;;; Adeka kafe restoran otel işl ve inş a.s;HAPPY MOONS WATERGARDEN ;Modern Pub & Bistro;Barbaros mah. Ahlst sokagi. No2/24 ziylan water grden ist. A blok;40,9980243;29,0997775;AB;80,1891;93,8504;D2-B;;happymoonscafe;var;https://maps.google.com/?cid=14211145037846161603
702744;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;ATAŞEHİR;HOTEL;3439002792Aİ;S5;D5;Presell On Hospitality Avrupa1 Kayıkçı Bölgesi;2535;Hospitality Yedek;8013;Mehmet Emir Kalkır;;D5;;H2;;500-999 TL;;Düşük;Hayır;Evet;4;;0-10K;Odabaşı inşaat ve gayrımenkul yatırımları sanayi ticaret anonim şirketi;İbiş otel ataşehir ;Diğer (Apart, Pansiyon);Küçükbakkalköy mahallesi yenidoğan caddesi no:6/2Ataşehir /istanbul ;41,07044360;29,00035520;C;;;H2;;;var;https://maps.app.goo.gl/ZD8wsgztYSNcfKF28
702849;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;MODERN;3428010375Aİ;S5;D4;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D3;;;Etkinlik Yok;1.000 -1.999 TL;100-199;Düşük;;;;;;3E Cadde Restoran İşletmeciliği A.Ş.;STEFANO;Modern Pub & Bistro;Caddebostan Mah. Yener sok. No:5/1A/7 ;40,9638663;29,0711166;AB;;;D3-A;;stefanobyismetsaz;var;https://maps.google.com/?cid=4442087110506303748
709693;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;3428010503Aİ;S4;D5;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R4;H0;Etkinlik Yok;1.000 -1.999 TL;0-99;Orta;;;;;;BALIKLA DENİZ MAHSULLERİ LTD.ŞTİ.;BALIKLA;Geleneksel Meyhane;SUADİYE MAH. AYŞEÇAVUŞ CAD. NO:15/B KADIKÖY/ İSTA+90 533 273 79 50BUL;40,9614002;29,0841554;AB;;;R4-B;;noktabalik;var;https://maps.google.com/?cid=10289908878118921694
710632;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;3428010519Aİ;S4;D4;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;D0;R3;H0;;2.000+ TL;;Yüksek;;;;;;ASBAR GIDA TURZİM TİC VE LTD. ŞTİ.;BEHIND CADDE;Geleneksel Meyhane;CADDEBOSTAN MAH. YENER SOK. DENİZ AP. NO :5/A KADKÖY / İSTANBUL;40,9638252;29,0711659;AB;;;R3-B;;behindcadde;var;https://maps.google.com/?cid=14837248249564481024
710647;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;KADIKÖY;HOTEL;3428010520Aİ;S4;D4;Presell On Hospitality Avrupa1 Kayıkçı Bölgesi;2535;Hospitality Yedek;8013;Mehmet Emir Kalkır;;D5;;H1;;;;Yüksek;Hayır;Evet;5 / 5+;501-1000;10K-50K;caba inşaat enerji turizm sanayi ve ticaret anonim şirketi istanbul kadıköy şubesi;MODA DOUBLETREE BY HİLTON ;Banket, Event, Etkinlik Oteli;Caferağa mh albay faik sözdener cd no:31 kadıköy adıköy istanbul;40,988424;29,0210756;A+;;;H1;;;var;https://maps.google.com/?cid=719800275528535934
710698;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;HOTEL;3439003294Aİ;S3;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;;;Yüksek;Hayır;Evet;5 / 5+;1000+;10K-50K;ADALI OTELCİLİK TURİZM ORGANİZASYON TİC. ANONİM ŞİRKETİ;SLINCE OTEL ATAŞEHİR;Banket, Event, Etkinlik Oteli;Küçükbakkalköy mh dudullu cd slince otel blok:no/7-29/1 ataşehir istanbul;40,98232970;29,13350140;AB;;;H1;;;var;https://maps.app.goo.gl/Wqv2PWxtJf2RdMNw5
712525;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ÜSKÜDAR;HOTEL;3434004855Aİ;S5;D5;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D0;R0;H1;;;;Yüksek;Hayır;Evet;5 / 5+;51-200;10K-50K;A11 GAYRIMENKUL VE OTELCİLİK ANONİM ŞİRKETI;A11 HOTEL BOSPHORUS;Butik Otel;Sultantepe mh paşalimanı cad no:10/1 ;41,02883900;29,01724200;A+;;;H1;;;var;https://maps.app.goo.gl/6PJCEj83Gte5y66a6
712526;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;HOTEL;3439002983Aİ;S4;D5;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;D0;R0;H2;;;;Yüksek;Hayır;Evet;5 / 5+;501-1000;10K-50K;GİRAY YAPI TURİZM SANAYİ TİCARET LİMİTED ŞİRKETİ;CİTYLOFT 161;Lüks Butik Otel;İnönü mh zümrüt sk no:10/170 Ataşehir;40,9756954;29,1484178;A+;;;H2;;;var;https://maps.google.com/?cid=14338089358501830520
713991;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ÜMRANİYE;HOTEL;3433007248Aİ;S3;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D0;R0;H2;;;;Yüksek;Hayır;Evet;4;501-1000;10K-50K;Tgm Trend Gayrimenkul Yatırım Hiz.Ltd. Şti;MERCURE OTEL;Banket, Event, Etkinlik Oteli;;41,02840836;29,11632668;AB;;;H2;;;var;https://maps.app.goo.gl/ANiXVeV8KwM1mA498
714945;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;HOTEL;3439003348Aİ;S3;D4;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;D0;R0;H2;;;;Yüksek;Hayır;Evet;4;51-200;0-10K;cityloft otelcilik ve yatçılık turizm ticaret limited şirketi;CİTYLOFT;Butik Otel;Kayışdağı mah kayışdağı cd no:185/1 ataşehir istabul;40,97569271;29,14867915;C;;;H2;;cityloftistanbul;var;https://maps.app.goo.gl/TJoGWN7wtKUrzKyw7
715519;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;HOTEL;3439002983Aİ;S4;D4;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;D0;R0;H1;;;;Yüksek;Hayır;Evet;5 / 5+;51-200;0-10K;Giray Yapı Turizm Sanayi Ticaret Limited Şirketi;Cityloft Rakel;Diğer (Apart, Pansiyon);İnönü mh zümrüt sk no:10/170 ataşehir istanbul;40,9756954;29,1484178;C;;;H1;;;var;https://www.google.com/maps/place/Cityloft+161+Hotels+l+Houses/@40.9756954,29.1484178,17z/data=!3m1!5s0x14cac5fad17ba8f1:0xb50840f9ce966f65!4m23!1m13!3m12!1s0x14cac5fad1fbf4f9:0xc6fb204e1b4f5f78!2sCityloft+161+Hotels+l+Houses!5m2!4m1!1i2!8m2!3d40.9756954!4d29.1484178!10e5!14m1!1BCgIYEw!16s%2Fg%2F11f345dc47!3m8!1s0x14cac5fad1fbf4f9:0xc6fb204e1b4f5f78!5m2!4m1!1i2!8m2!3d40.9756954!4d29.1484178!16s%2Fg%2F11f345dc47?entry=ttu
717984;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;ATAŞEHİR;HOTEL;3439003354Aİ;S3;D4;Presell On Asya Kayıkçı İst.Tra Atşhr-Adalar Bölge;2822;Ramazan İlhami Kılınç;8231;Erkan Çoban;;D0;R0;H2;;;;Orta;Hayır;Evet;4;51-200;0-10K;GİRAY YAPI TURİZM SAN.VE TİC.LTD.ŞTİ. - KAT 12;CITYLOFT RAKEL;Lüks Butik Otel;;40,97584231;29,14873682;AB;;;H2;;;var;https://maps.app.goo.gl/FqDH7bQwRWtpxKqQ9
719498;Reserve Kanal Md.;Reserve İstanbul 2;İstanbul Anadolu;ÜSKÜDAR;HOTEL;3434005034Aİ;S2;D1;Presell Reserve İst. 2 Kayıkçı Bölgesi;2774;Reserve İstanbul 2 Personel;8159;Reserve İstanbul 2 Saha Müdürü;;D0;R0;H1;;;;Yüksek;Hayır;Evet;Lüks Butik Otel;0-50;0-10K;Hotel and residence Çengelköy Otelcilik ve Turizm İşletmeleri A.Ş.;SUMAHAN VAKKO;Lüks Butik Otel;Çengelköy mahallesi kuleli caddesi sumahan otel ve restoran no:43 Üsküdar istanbul;41;29;AB;;;H1;;;var;https://maps.app.goo.gl/87KAJJiFsWG5HHc69
820299;Telesales Kanal Md.;Telesales OnTrade;İstanbul Anadolu;KADIKÖY;MODERN;34285300Aİ;S5;D4;Presell Asya Kayıkçı Telesell OnTrade Bölgesi;2825;Asya Kayıkçı Telesell OnTrade;8250;Telesell Şef;;D4;;;Etkinlik Yok;0-499 TL;0-99;Orta;;;;;;PUB STATION CAFE&BAR - TOLGA YAPICI;PUB STATION CAFE&BAR;Modern Pub & Bistro;;40,9894101;29,0269425;C;;;D4-C;;pubstation_;var;https://maps.google.com/?cid=10423435192931380441
836050;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;HOTEL;34288914Aİ;S2;D3;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D5;;H1;;500-999 TL;;Düşük;Hayır;Evet;4;;0-10K;SUADİYE OTELCİLİK TUR.İNŞ.SAN.TİC.AŞ.;SUADİYE OTEL ;Business;;40,9567474;29,0805308;AB;;;H1;;;var;https://maps.google.com/?cid=15261522485580363736
837849;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;KADIKÖY;MODERN;34286060Aİ;S4;D4;Presell On Hospitality Avrupa1 Kayıkçı Bölgesi;2535;Hospitality Yedek;8013;Mehmet Emir Kalkır;;D1;;;Etkinlik Yok;500-999 TL;400+;Yüksek;;;;;;BÜYÜK SEFLER GIDA TUR.TEKS.DAN.ORG.EGIT.SAN.TIC.A.S;BIGCHEFS SUADİYE;Modern Pub & Bistro;BOSTANCI MH. BAĞDAT CD. NO:497/A  KADIKOY ISTANBUL;40,9562871;29,089683;AB;;;D1-A;;bigchefscafe;var;https://maps.google.com/?cid=17827274917210621252
848045;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ÜSKÜDAR;HOTEL;34340717Aİ;S3;D3;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;500-999 TL;;Orta;Hayır;Evet;5 / 5+;;10K-50K;YALI TUR. VE YAT. VE İŞL.A.Ş.;BOSPHORUS OTEL ;Banket, Event, Etkinlik Oteli;BEYLERBEYİ YALIBOYU CD. NO:64 ÜSKÜDAR ISTANBUL  ;41,0453262;29,0460872;AB;;;H1;;;var;https://maps.google.com/?cid=14878654774353352226
858971;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;KADIKÖY;MODERN;34390561Aİ;S3;D4;Presell On Hospitality Avrupa2 Kayıkçı Bölgesi;2536;Hospitalty Yedek 1;8072;ST Yöneticisi 7 ;;D2;R0;H0;Etkinlik Yok;500-999 TL;400+;Yüksek;;;;;;KÜRE TURIZM SANAYI VE TICARET LIMITED SIRKETI;MIDPOINT PALLADIUM;Modern Pub & Bistro;BARBAROS MH. HALK CD. NO:6 PALLADIUM AVM BB-152 KOZYATAĞI KADIKOY ISTANBUL;40,9855701;29,1006379;A+;82,296;82,9415;D2-B;;midpointbistrocafe;var;https://maps.google.com/?cid=14124329975565830352
870995;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;KADIKÖY;MODERN;34286189Aİ;S4;D4;Presell On Hospitality Avrupa2 Kayıkçı Bölgesi;2536;Hospitalty Yedek 1;8072;ST Yöneticisi 7 ;;D2;R0;H0;Etkinlik Yok;500-999 TL;400+;Orta;;;;;;ZOREL AYMUTLU GIDA MADDELERI TURIZM SANAYII TICARET LIMITED SIRKETI;HAPPY MOON`S ŞAŞKINBAKKAL;Modern Pub & Bistro;SUADİYE MAH BAĞDAT CAD NO 339/A/1 KADIKOY ISTANBUL;40,96463821;29,07332479;AB;80,7828;93,6529;D2-B;;happymoonscafe;var;https://maps.app.goo.gl/HeF7fBog6cfozN786
874577;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;MODERN;34390723Aİ;S5;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D0;;;;;;;;;;;;NUMNUM YIYECEK VE IÇECEK ANONIM SIRKETI;NUMNUM BRANDIUM ;Modern Pub & Bistro;KÜÇÜKBAKKALKÖY MAH. DUDULLU CAD. NO:23-25S  ATASEHIR ISTANBUL;41,0211488;29,0399053;CDE;;;D0-B;;numnumcafe;var;https://maps.google.com/?cid=44258458002074039
876367;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;HOTEL;34391325Aİ;S3;D4;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D0;R0;H1;;500-999 TL;;Yüksek;Hayır;Evet;5 / 5+;;10K-50K;DEDEMAN OTELCILIK VE TURISTLIK ISLETMELER AS DEDEMAN BOSTANVI OTELI SUBESI;DEDEMAN BOSTANCI;Banket, Event, Etkinlik Oteli;DEĞİRMENYOLU CADDESİ İÇERENKÖY MAHALLESİ NO:39B ATASEHIR ISTANBUL;40,962326;29,1110334;AB;;;H1;;;var;https://maps.google.com/?cid=13299471545062580468
886674;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;ATAŞEHİR;HOTEL;34390427Aİ;S4;D4;Presell On İst.Mod Ataşehir Bölgesi;2819;Volkan Barol;8230;Tayfun Öncel;;D5;;H1;;500-999 TL;;Düşük;Hayır;Evet;4;;0-10K;ANT YAPI SAN. VE TİC.A.Ş.;RADISSON BLU OTEL ATAŞEHİR ;Banket, Event, Etkinlik Oteli;ATATÜRK MAH. YAKUT CAD. NO:8 ATASEHIR ISTANBUL ;40,9910437;29,1159213;AB;;;H1;;;var;https://maps.google.com/?cid=12867029030734799152
902077;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;ATAŞEHİR;MODERN;34391712Aİ;S3;D3;Presell On Hospitality Avrupa2 Kayıkçı Bölgesi;2536;Hospitalty Yedek 1;8072;ST Yöneticisi 7 ;;D2;R0;H0;Etkinlik Yok;500-999 TL;400+;Yüksek;;;;;;SOS LOKANTA ISLETMECILIGI GIDA TURIZM INSAAT SANAYI VE TICARET ANONIM SIRKETI - THE HUNGER;THE HUNGER BULVAR 2;Modern Pub & Bistro;BARBOROS MAHALLESİ MOR ZAMBAK SOKAK NO 9/A/1B02 BULVAR 216 ATASEHIR ISTANBUL;40,99415281;29,11031373;AB;80,0876;83,973;D2-B;;thehunger;var;https://maps.app.goo.gl/HWpi9n8xieHJJtmN8
904612;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;KADIKÖY;HOTEL;34286001Aİ;S1;D1;Presell On Hospitality Avrupa1 Kayıkçı Bölgesi;2535;Hospitality Yedek;8013;Mehmet Emir Kalkır;;D5;;H1;;500-999 TL;;Yüksek;Hayır;Evet;5 / 5+;;10K-50K;REISLER TURIZM VE OTELCILIK A.S. - WYNDHAM GRAND İSTANBUL KALAMIŞ MARİNA OTEL;WYNDHAM GRAND İSTAN;Banket, Event, Etkinlik Oteli;FENERBAHÇE MAH.KALAMIŞ FENER CAD. NO:38 1   KADIKOY ISTANBUL;40,9773632;29,0416963;A+;;;H1;;;var;https://maps.google.com/?cid=11695834787451254814
905917;Ulusal On-Trade Kanal MD.;İstanbul Heritage;İstanbul Anadolu;KADIKÖY;TRADITIONAL;34287797Aİ;S3;D2;Presell On İst.Tra Bostancı Bölgesi;2817;Mehmet Yaşar Tezcan;8228;Erkan Çoban;;;R2;;Etkinlik Yok;1.000 -1.999 TL;400+;Yüksek;;;;;;MIM OTOMOTIV YEDEK PARÇA TURIZM VE TEKSTIL SANAYI DIS TICARET LIMITED SIRKETI - ANATOLIA CAFE - BAR;ANATOLİA;Askeri Birlik-Sosyal Tesis;bostancı bağdat cad no 528 KADIKOY ISTANBUL  ;40,9538503;29,0937585;C;;;R2-C;;anatolia_turkuevi;var;https://maps.google.com/?cid=7311675570874525576
909348;Ulusal On-Trade Kanal MD.;İstanbul Modern OT;İstanbul Anadolu;KADIKÖY;HOTEL;34288291Aİ;S5;D4;Presell On İst.Mod Caddebostan Bölgesi;2815;Atakan Balcıoğlu ;8226;Tayfun Öncel;;D5;;H2;;500-999 TL;;Düşük;Hayır;Evet;4;;10K-50K;DEFNE OTELCILIK A.S - DEFNE OTELCİLİK A.Ş;HOLİDAY IN ISTANBUL;Business;EĞİTİM MAHALLESİ POYRAZ SOKAK NO:6 KADIKOY ISTANBUL;40,9926386;29,0432188;AB;;;H2;;;var;https://maps.google.com/?cid=10135323794130972416
909841;Ulusal On-Trade Kanal MD.;Hospitality;İstanbul Anadolu;ATAŞEHİR;HOTEL;34391914Aİ;S2;D3;Presell On Hospitality Avrupa1 Kayıkçı Bölgesi;2535;Hospitality Yedek;8013;Mehmet Emir Kalkır;;D0;R0;H1;;2.000+ TL;;Yüksek;Hayır;Evet;5 / 5+;1000+;50K-100K;CEVAHIR YAPI SANAYI TURIZM VE TIC. A.S. SHERATON OTEL ISTANBUL ATASEHIR SUBESI - SHERATON İSTANBUL ATASEHIR HOTEL;SHERATON HOTEL ATAŞ;Banket, Event, Etkinlik Oteli;BARBAROS MAHALLESI MOR SUMBUL SOK. VARYAP MERİDYAN I BLOK  ATASEHIR ISTANBUL;40,9935082;29,1020667;AB;;;H1;;;var;https://maps.google.com/?cid=4929107779928431731
